disclosure_date,code,company_name,title
2026-08-03,52480,Ｇ－テクノロジーズ,（開示事項の経過）株式の取得（子会社化）及び財務上の特約が付された金銭消費貸借契約の締結に関するお知らせ
2026-08-03,52570,ノバシステム,（訂正）「自己株式取得に係る事項の決定に関するお知らせ」の一部訂正について
2026-08-03,52620,日ヒューム,株式会社中部基礎の株式取得（子会社化）完了 および当該子会社役員人事に関するお知らせ
2026-08-03,52730,三谷セキサン,自己株式の取得状況に関するお知らせ
2026-08-03,52800,ヨシコン,自己株式の市場買付けに関するお知らせ
2026-08-03,52900,ベルテクス,自己株式の取得状況に関するお知らせ
2026-08-03,53410,ＡＳＡＨＩ ＥＩＴＯ,第三者割当により発行された第12回新株予約権（行使価額修正条項付）の月間行使状況に関するお知らせ
2026-08-03,53670,ニッカトー,2027年3月期 第1四半期決算短信〔日本基準〕（非連結）
2026-08-03,53670,ニッカトー,2027年３月期（第１Ｑ） 決算説明資料
2026-08-03,53930,ニチアス,自己株式の取得状況に関するお知らせ
2026-08-03,54230,東製鉄,自己株式の取得状況に関するお知らせ
2026-08-03,54630,丸一鋼管,自己株式の取得状況に関するお知らせ
2026-08-03,55370,Ｇ－ＡｌｂａＬｉｎｋ,自己株式の取得状況に関するお知らせ
2026-08-03,55780,Ｇ－ＡＲアドバンスト,配当予想の修正に関するお知らせ
2026-08-03,55890,オートサーバー,2026年12月期7月度 ASNET取引台数実績（速報値）
2026-08-03,55920,Ｇ－くすりの窓口,自己株式取得状況に関するお知らせ（2026年７月度）
2026-08-03,56310,日製鋼所,2027年３月期 第１四半期決算短信〔日本基準〕（連結）
2026-08-03,565A0,Ｐ－ＦＦＦＨＤ,連結子会社間の吸収合併に関するお知らせ
2026-08-03,57030,日軽金ＨＤ,2027年３月期 第１四半期決算短信〔日本基準〕（連結）
2026-08-03,57030,日軽金ＨＤ,2026年度第１四半期決算通期業績予想
2026-08-03,57030,日軽金ＨＤ,2027年３月期第２四半期(中間期)および通期連結業績予想の修正ならびに配当予想の修正に関するお知らせ
2026-08-03,57140,ＤＯＷＡ,譲渡制限付株式報酬としての自己株式の処分の払込完了に関するお知らせ
2026-08-03,581A0,Ｇ－ＧＯ,（訂正）「2026年5月期 通期決算説明資料」の一部訂正について
2026-08-03,585A4,Ｅ－ＪＡＭＰＦＭ,上場ETF（管理会社：JAMPファンド・マネジメント）に関する日々の開示事項
2026-08-03,587A4,Ｅ－インベスコＱＱＱ,インベスコQQQトラスト シリーズ1 に関する日々の開示事項
2026-08-03,59290,三和ＨＤ,自己株式の取得状況に関するお知らせ
